Countries and areas,Region,Sub-region,Development regions,Age group,Subject,Total,Gender Girls,Gender Boys,Residence Rural,Residence Urban,Wealth quintile: Poorest,Wealth quintile: Second,Wealth quintile: Middle,Wealth quintile: Fourth,Wealth quintile: Richest,Data Source,Data Year
Tunisia,MENA,MENA,Less Developed,Age 7 to 14,Reading,66 ,68 ,64 ,53 ,72 ,45 ,59 ,71 ,75 ,80 ,MICS6,2018
Tunisia,MENA,MENA,Less Developed,Age 7 to 14,Numeracy,28 ,26 ,30 ,20 ,32 ,18 ,20 ,33 ,32 ,37 ,MICS6,2019
Tunisia,MENA,MENA,Less Developed,Grade 2/3,Reading,47 ,48 ,46 ,36 ,53 ,23 ,42 ,53 ,52 ,72 ,MICS6,2018
Tunisia,MENA,MENA,Less Developed,Grade 2/3,Numeracy,15 ,15 ,16 ,13 ,17 ,8 ,10 ,20 ,18 ,24 ,MICS6,2018
Turkmenistan,ECA,EECA,Less Developed,Age 7 to 14,Reading,82 ,84 ,82 ,83 ,79 ,76 ,90 ,79 ,80 ,85 ,MICS6,2019
Turkmenistan,ECA,EECA,Less Developed,Age 7 to 14,Numeracy,70 ,72 ,68 ,69 ,71 ,61 ,68 ,72 ,71 ,79 ,MICS6,2019
Turkmenistan,ECA,EECA,Less Developed,Grade 2/3,Reading,71 ,75 ,69 ,,,,,,,,MICS6,2019
Turkmenistan,ECA,EECA,Less Developed,Grade 2/3,Numeracy,53 ,65 ,59 ,,,,,,,,MICS6,2019
Zimbabwe,SSA,ESA,Less Developed,Age 7 to 14,Reading,44 ,48 ,41 ,37 ,68 ,25 ,34 ,44 ,57 ,77 ,MICS6,2019
Zimbabwe,SSA,ESA,Less Developed,Age 7 to 14,Numeracy,25 ,27 ,23 ,19 ,41 ,13 ,21 ,21 ,31 ,47 ,MICS6,2019
Zimbabwe,SSA,ESA,Less Developed,Grade 2/3,Reading,20 ,21 ,18 ,12 ,42 ,6 ,10 ,17 ,28 ,51 ,MICS6,2019
Zimbabwe,SSA,ESA,Less Developed,Grade 2/3,Numeracy,5 ,4 ,6 ,2 ,13 ,0 ,3 ,2 ,9 ,17 ,MICS6,2019
